name,state,year,treated,socialist_voteshare
ABSAM,TYROL,1986,1,0.347607
ABSAM,TYROL,1994,1,0.2723125
ABSAM,TYROL,1983,1,0.4072663
ABSAM,TYROL,1990,1,0.3545076
ABSDORF,LOWERAUSTRIA,1990,0,0.5391949
ABSDORF,LOWERAUSTRIA,1986,0,0.5165775
ABSDORF,LOWERAUSTRIA,1983,0,0.528616
ABSDORF,LOWERAUSTRIA,1994,0,0.4480874
ABTENAU,SALZBURG,1990,0,0.3888889
ABTENAU,SALZBURG,1983,0,0.4100391
ABTENAU,SALZBURG,1986,0,0.3692653
ABTENAU,SALZBURG,1994,0,0.3522727
ACHAU,LOWERAUSTRIA,1983,0,0.6205212
ACHAU,LOWERAUSTRIA,1990,0,0.5789474
ACHAU,LOWERAUSTRIA,1986,0,0.5883362
ACHAU,LOWERAUSTRIA,1994,0,0.4408451
ACHENKIRCH,TYROL,1983,1,0.3193202
ACHENKIRCH,TYROL,1994,1,0.2398058
ACHENKIRCH,TYROL,1986,1,0.2428571
ACHENKIRCH,TYROL,1990,1,0.268501
ADERKLAA,LOWERAUSTRIA,1994,0,0.030303
ADERKLAA,LOWERAUSTRIA,1983,0,0.075
ADERKLAA,LOWERAUSTRIA,1990,0,0.0578512
ADERKLAA,LOWERAUSTRIA,1986,0,0.0672269
ADLWANG,UPPERAUSTRIA,1986,0,0.2369427
ADLWANG,UPPERAUSTRIA,1983,0,0.2777053
ADLWANG,UPPERAUSTRIA,1994,0,0.1689977
ADLWANG,UPPERAUSTRIA,1990,0,0.2575058
ADMONT,STYRIA,1983,1,0.5579268
ADMONT,STYRIA,1994,1,0.4201586
ADMONT,STYRIA,1990,1,0.5061728
ADMONT,STYRIA,1986,1,0.5115325
ADNET,SALZBURG,1990,0,0.380748
ADNET,SALZBURG,1983,0,0.4191951
ADNET,SALZBURG,1986,0,0.3705674
ADNET,SALZBURG,1994,0,0.2924791
AFIESL,UPPERAUSTRIA,1994,0,0.2614108
AFIESL,UPPERAUSTRIA,1990,0,0.3884615
AFIESL,UPPERAUSTRIA,1986,0,0.3176471
AFIESL,UPPERAUSTRIA,1983,0,0.3415638
AFLENZ LAND,STYRIA,1994,1,0.3870387
AFLENZ LAND,STYRIA,1983,1,0.5473485
AFLENZ LAND,STYRIA,1990,1,0.4568889
AFLENZ LAND,STYRIA,1986,1,0.4919065
AGGSBACH,LOWERAUSTRIA,1983,0,0.5576132
AGGSBACH,LOWERAUSTRIA,1994,0,0.4576659
AGGSBACH,LOWERAUSTRIA,1990,0,0.55
AGGSBACH,LOWERAUSTRIA,1986,0,0.5683761
AHORN,UPPERAUSTRIA,1994,0,0.1962617
AHORN,UPPERAUSTRIA,1986,0,0.2418301
AHORN,UPPERAUSTRIA,1983,0,0.2363014
AHORN,UPPERAUSTRIA,1990,0,0.2664671
AIBL,STYRIA,1983,1,0.4414946
AIBL,STYRIA,1990,1,0.3590476
AIBL,STYRIA,1986,1,0.3662109
AIBL,STYRIA,1994,1,0.3124378
AICH,STYRIA,1983,1,0.3208431
AICH,STYRIA,1990,1,0.2893519
AICH,STYRIA,1994,1,0.2182628
AICH,STYRIA,1986,1,0.2822967
AICHKIRCHEN,UPPERAUSTRIA,1990,0,0.1517241
AICHKIRCHEN,UPPERAUSTRIA,1994,0,0.1456954
AICHKIRCHEN,UPPERAUSTRIA,1986,0,0.1423611
AICHKIRCHEN,UPPERAUSTRIA,1983,0,0.1627119
AIGEN/ENNSTAL,STYRIA,1983,1,0.5116434
AIGEN/ENNSTAL,STYRIA,1994,1,0.3322497
AIGEN/ENNSTAL,STYRIA,1986,1,0.442602
AIGEN/ENNSTAL,STYRIA,1990,1,0.4152271
AIGEN/MUEHLKREIS,UPPERAUSTRIA,1986,0,0.3107296
AIGEN/MUEHLKREIS,UPPERAUSTRIA,1983,0,0.3506045
AIGEN/MUEHLKREIS,UPPERAUSTRIA,1990,0,0.3279279
AIGEN/MUEHLKREIS,UPPERAUSTRIA,1994,0,0.2960526
AISTERSHEIM,UPPERAUSTRIA,1983,0,0.3309524
AISTERSHEIM,UPPERAUSTRIA,1994,0,0.2346939
AISTERSHEIM,UPPERAUSTRIA,1990,0,0.3224181
AISTERSHEIM,UPPERAUSTRIA,1986,0,0.3269231
ALBECK,CARINTHIA,1983,1,0.4026163
ALBECK,CARINTHIA,1990,1,0.3381295
ALBECK,CARINTHIA,1986,1,0.3806276
ALBECK,CARINTHIA,1994,1,0.2789634
ALBERNDORF/PULKAUTAL,LOWERAUSTRIA,1986,0,0.3762136
ALBERNDORF/PULKAUTAL,LOWERAUSTRIA,1994,0,0.3357488
ALBERNDORF/PULKAUTAL,LOWERAUSTRIA,1983,0,0.4554456
ALBERNDORF/PULKAUTAL,LOWERAUSTRIA,1990,0,0.423445
ALBERNDORF/RIEDMARK,UPPERAUSTRIA,1983,0,0.3293627
ALBERNDORF/RIEDMARK,UPPERAUSTRIA,1990,0,0.3055118
ALBERNDORF/RIEDMARK,UPPERAUSTRIA,1986,0,0.2978022
ALBERNDORF/RIEDMARK,UPPERAUSTRIA,1994,0,0.2722748
ALBERSCHWENDE,VORARLBERG,1986,1,0.0943276
ALBERSCHWENDE,VORARLBERG,1994,1,0.081363
ALBERSCHWENDE,VORARLBERG,1983,1,0.1005326
ALBERSCHWENDE,VORARLBERG,1990,1,0.1233886
ALBERSDORF-PREBUCH,STYRIA,1994,1,0.2448133
ALBERSDORF-PREBUCH,STYRIA,1983,1,0.3640212
ALBERSDORF-PREBUCH,STYRIA,1986,1,0.3085774
ALBERSDORF-PREBUCH,STYRIA,1990,1,0.3008048
ALBRECHTSBERG/GR.KREMS,LOWERAUSTRIA,1986,0,0.3510101
ALBRECHTSBERG/GR.KREMS,LOWERAUSTRIA,1994,0,0.2961433
ALBRECHTSBERG/GR.KREMS,LOWERAUSTRIA,1983,0,0.3963731
ALBRECHTSBERG/GR.KREMS,LOWERAUSTRIA,1990,0,0.3595041
ALDRANS,TYROL,1990,1,0.1924975
ALDRANS,TYROL,1994,1,0.1431557
