day,statename,PriceD,VolumeD,PriceR,VolumeR,state
11/12/06,Alabama,40,0,40,0,AL
11/12/06,Alaska,40,0,40,0,AK
11/12/06,Arizona,40,0,40,0,AZ
11/12/06,Arkansas,40,0,40,0,AR
11/12/06,California,40,0,40,0,CA
11/12/06,Colorado,40,0,40,0,CO
11/12/06,Connecticut,40,0,40,0,CT
11/12/06,Delaware,40,0,40,0,DE
11/12/06,District of Columbia,33.3,0,33.3,0,DC
11/12/06,Georgia,40,0,40,0,GA
11/12/06,Hawaii,40,0,40,0,HI
11/12/06,Idaho,40,0,40,0,ID
11/12/06,Illinois,40,0,40,0,IL
11/12/06,Indiana,40,0,40,0,IN
11/12/06,Iowa,40,0,40,0,IA
11/12/06,Kansas,40,0,40,0,KS
11/12/06,Kentucky,40,0,40,0,KY
11/12/06,Louisiana,40,0,40,0,LA
11/12/06,Maine,40,0,40,0,ME
11/12/06,Maryland,40,0,40,0,MD
11/12/06,Massachusetts,40,0,40,0,MA
11/12/06,Michigan,40,0,40,0,MI
11/12/06,Minnesota,40,0,40,0,MN
11/12/06,Mississippi,40,0,40,0,MS
11/12/06,Missouri,40,0,40,0,MO
11/12/06,Montana,40,0,40,0,MT
11/12/06,Nebraska,40,0,40,0,NE
11/12/06,Nevada,40,0,40,0,NV
11/12/06,New Hampshire,40,0,40,0,NH
11/12/06,New Jersey,40,0,40,0,NJ
11/12/06,New Mexico,40,0,40,0,NM
11/12/06,New York,40,1,40,0,NY
11/12/06,North Carolina,40,0,40,0,NC
11/12/06,North Dakota,40,0,40,0,ND
11/12/06,Ohio,40,0,40,0,OH
11/12/06,Oklahoma,40,0,40,0,OK
11/12/06,Oregon,40,0,40,0,OR
11/12/06,Pennsylvania,40,0,40,0,PA
11/12/06,Rhode Island,40,0,40,0,RI
11/12/06,South Carolina,40,0,40,0,SC
11/12/06,South Dakota,40,0,40,0,SD
11/12/06,Tennessee,40,0,40,0,TN
11/12/06,Texas,40,0,40,5,TX
11/12/06,Utah,40,0,40,0,UT
11/12/06,Vermont,40,0,40,0,VT
11/12/06,Virginia,40,0,40,0,VA
11/12/06,Washington,40,0,40,0,WA
11/12/06,West Virginia,40,0,40,0,WV
11/12/06,Wisconsin,40,0,40,0,WI
11/12/06,Wyoming,40,0,40,0,WY
11/13/06,Alabama,40,0,40,0,AL
11/13/06,Alaska,40,0,40,0,AK
11/13/06,Arizona,40,0,40,0,AZ
11/13/06,Arkansas,40,0,40,0,AR
11/13/06,California,40,0,40,0,CA
11/13/06,Colorado,40,0,40,0,CO
11/13/06,Connecticut,40,0,40,0,CT
11/13/06,Delaware,40,0,40,0,DE
11/13/06,District of Columbia,33.3,0,33.3,0,DC
11/13/06,Florida,45,0,45,0,FL
11/13/06,Georgia,40,0,40,0,GA
11/13/06,Hawaii,40,0,40,0,HI
11/13/06,Idaho,40,0,40,0,ID
11/13/06,Illinois,40,0,40,0,IL
11/13/06,Indiana,40,0,40,0,IN
11/13/06,Iowa,40,0,40,0,IA
11/13/06,Kansas,40,0,40,0,KS
11/13/06,Kentucky,40,0,40,0,KY
11/13/06,Louisiana,40,0,40,0,LA
11/13/06,Maine,40,0,40,0,ME
11/13/06,Maryland,40,0,40,0,MD
11/13/06,Massachusetts,40,0,40,0,MA
11/13/06,Michigan,40,0,40,0,MI
11/13/06,Minnesota,40,0,40,2,MN
11/13/06,Mississippi,40,0,40,0,MS
11/13/06,Missouri,40,0,40,0,MO
11/13/06,Montana,40,0,40,0,MT
11/13/06,Nebraska,40,0,40,0,NE
11/13/06,Nevada,40,0,40,0,NV
11/13/06,New Hampshire,40,0,40,0,NH
11/13/06,New Jersey,40,0,40,0,NJ
11/13/06,New Mexico,40,0,40,0,NM
