state,Pollster,Obama,McCain,middate
AL,SurveyUSA-2,36,61,10/27/08
AL,Capital Survey-2,34,54,10/15/08
AL,SurveyUSA-2,35,62,10/8/08
AL,Capital Survey-2,35,55,10/6/08
AL,Rasmussen-1,39,60,9/22/08
AL,SurveyUSA-2,34,64,9/16/08
AL,ARG-4,36,58,9/14/08
AL,U. of South Alabama-8,25,52,9/11/08
AL,Capital Survey-7,35,55,9/6/08
AL,Capital Survey-7,34,47,8/1/08
AL,Rasmussen-1,37,55,7/31/08
AL,Rasmussen-1,36,51,6/26/08
AL,Capital Survey-2,36,49,6/25/08
AL,Capital Survey-5,33,57,5/31/08
AL,Rasmussen-1,32,60,5/27/08
AL,SurveyUSA-3,34,57,5/17/08
AL,Capital Survey-9,36,55,4/20/08
AL,SurveyUSA-3,32,64,4/12/08
AL,Rasmussen-1,37,55,4/2/08
AL,U. of South Alabama-4,30,57,3/25/08
AL,SurveyUSA-3,35,62,3/15/08
AL,SurveyUSA-3,40,54,2/27/08
AL,SurveyUSA-2,29,63,1/16/08
AL,Election 2004-1,37,63,1/1/08
AK,Research 2000-3,39,58,10/29/08
AK,Rasmussen-1,41,57,10/28/08
AK,Ivan Moore Research-3,42,53,10/18/08
AK,Research 2000-3,38,57,10/15/08
AK,Rasmussen-1,40,55,10/6/08
AK,Ivan Moore Research-4,38,55,10/4/08
AK,Fairleigh Dickinson U.-5,37,55,9/19/08
AK,Research 2000-3,38,55,9/16/08
AK,ARG-3,39,55,9/10/08
AK,Rasmussen-1,33,64,9/9/08
AK,Ivan Moore Research-4,35,54,8/31/08
AK,Rasmussen-1,39,44,7/30/08
AK,Rasmussen-1,40,45,7/17/08
AK,Research 2000-3,41,51,7/15/08
AK,Rasmussen-1,41,45,6/16/08
AK,Rasmussen-1,41,50,5/14/08
AK,Research 2000-3,42,49,5/13/08
AK,Rasmussen-1,43,48,4/7/08
AK,SurveyUSA-3,43,48,2/27/08
AK,Election 2004-1,35,62,1/1/08
AZ,ARG-3,46,50,10/29/08
AZ,Research 2000-3,47,48,10/29/08
AZ,Mason-Dixon-2,44,48,10/27/08
AZ,Rasmussen-1,46,51,10/26/08
AZ,Opinion Research-6,46,53,10/25/08
AZ,Arizona State U.-4,44,46,10/24/08
AZ,Northern Arizona U.-10,41,49,10/22/08
AZ,Zimmerman-4,42,44,10/17/08
AZ,Rasmussen-1,38,59,9/29/08
AZ,Arizona State U.-4,38,45,9/26/08
AZ,ARG-4,39,56,9/12/08
AZ,Arizona State U.-3,30,40,8/15/08
AZ,Mason-Dixon-3,41,47,8/14/08
AZ,Rasmussen-1,36,52,7/30/08
AZ,Rasmussen-1,40,49,6/25/08
AZ,Arizona State U.-2,28,38,6/20/08
AZ,Rocky Mtn Poll-9,39,50,5/16/08
AZ,Arizona State U.-4,38,47,4/25/08
AZ,Rasmussen-1,37,57,4/15/08
AZ,Northern Arizona U.-10,33,55,4/3/08
