day,statename,PriceD,VolumeD,PriceR,VolumeR,state
1/24/11,Alabama,0,0,0,0,AL
1/24/11,Alaska,0,0,0,0,AK
1/24/11,Arizona,0,0,0,0,AZ
1/24/11,Arkansas,0,0,0,0,AR
1/24/11,California,0,0,0,0,CA
1/24/11,Colorado,0,0,0,0,CO
1/24/11,Connecticut,0,0,0,0,CT
1/24/11,Delaware,0,0,0,0,DE
1/24/11,Florida,0,0,0,0,FL
1/24/11,Georgia,0,0,0,0,GA
1/24/11,Hawaii,0,0,0,0,HI
1/24/11,Idaho,0,0,0,0,ID
1/24/11,Illinois,0,0,0,0,IL
1/24/11,Indiana,0,0,0,0,IN
1/24/11,Iowa,0,0,0,0,IA
1/24/11,Kansas,0,0,0,0,KS
1/24/11,Kentucky,0,0,0,0,KY
1/24/11,Louisiana,0,0,0,0,LA
1/24/11,Maine,0,0,0,0,ME
1/24/11,Maryland,0,0,0,0,MD
1/24/11,Massachusetts,0,0,0,0,MA
1/24/11,Michigan,0,0,0,0,MI
1/24/11,Minnesota,0,0,0,0,MN
1/24/11,Mississippi,0,0,0,0,MS
1/24/11,Missouri,0,0,0,0,MO
1/24/11,Montana,0,0,0,0,MT
1/24/11,Nebraska,0,0,0,0,NE
1/24/11,Nevada,0,0,0,0,NV
1/24/11,New Hampshire,0,0,0,0,NH
1/24/11,New Jersey,0,0,0,0,NJ
1/24/11,New Mexico,0,0,0,0,NM
1/24/11,New York,0,0,0,0,NY
1/24/11,North Dakota,0,0,0,0,ND
1/24/11,Ohio,0,0,0,0,OH
1/24/11,Oklahoma,0,0,0,0,OK
1/24/11,Oregon,0,0,0,0,OR
1/24/11,Pennsylvania,0,0,0,0,PA
1/24/11,Rhode Island,0,0,0,0,RI
1/24/11,South Carolina,0,0,0,0,SC
1/24/11,South Dakota,0,0,0,0,SD
1/24/11,Tennessee,0,0,0,0,TN
1/24/11,Texas,0,0,0,0,TX
1/24/11,Utah,0,0,0,0,UT
1/24/11,Vermont,0,0,0,0,VT
1/24/11,Virginia,0,0,0,0,VA
1/24/11,Washington,0,0,0,0,WA
1/24/11,West Virginia,0,0,0,0,WV
1/24/11,Wisconsin,0,0,0,0,WI
1/24/11,Wyoming,0,0,0,0,WY
1/25/11,Alabama,0,0,0,0,AL
1/25/11,Alaska,0,0,0,0,AK
1/25/11,Arizona,0,0,0,0,AZ
1/25/11,Arkansas,0,0,0,0,AR
1/25/11,California,0,0,0,0,CA
1/25/11,Colorado,0,0,0,0,CO
1/25/11,Connecticut,0,0,0,0,CT
1/25/11,Delaware,0,0,0,0,DE
1/25/11,Florida,0,0,0,0,FL
1/25/11,Georgia,0,0,0,0,GA
1/25/11,Hawaii,0,0,0,0,HI
1/25/11,Idaho,0,0,0,0,ID
1/25/11,Illinois,0,0,0,0,IL
1/25/11,Indiana,0,0,0,0,IN
1/25/11,Iowa,0,0,0,0,IA
1/25/11,Kansas,0,0,0,0,KS
1/25/11,Kentucky,0,0,0,0,KY
1/25/11,Louisiana,0,0,0,0,LA
1/25/11,Maine,0,0,0,0,ME
1/25/11,Maryland,0,0,0,0,MD
1/25/11,Massachusetts,0,0,0,0,MA
1/25/11,Michigan,0,0,0,0,MI
1/25/11,Minnesota,0,0,0,0,MN
1/25/11,Mississippi,0,0,0,0,MS
1/25/11,Missouri,0,0,0,0,MO
1/25/11,Montana,0,0,0,0,MT
1/25/11,Nebraska,0,0,0,0,NE
1/25/11,Nevada,0,0,0,0,NV
1/25/11,New Hampshire,0,0,0,0,NH
1/25/11,New Jersey,0,0,0,0,NJ
1/25/11,New Mexico,0,0,0,0,NM
1/25/11,New York,0,0,0,0,NY
1/25/11,North Dakota,0,0,0,0,ND
1/25/11,Ohio,0,0,0,0,OH
1/25/11,Oklahoma,0,0,0,0,OK
1/25/11,Oregon,0,0,0,0,OR
1/25/11,Pennsylvania,0,0,0,0,PA
1/25/11,Rhode Island,0,0,0,0,RI
1/25/11,South Carolina,0,0,0,0,SC
1/25/11,South Dakota,0,0,0,0,SD
1/25/11,Tennessee,0,0,0,0,TN
1/25/11,Texas,0,0,0,0,TX
1/25/11,Utah,0,0,0,0,UT
1/25/11,Vermont,0,0,0,0,VT
1/25/11,Virginia,0,0,0,0,VA
1/25/11,Washington,0,0,0,0,WA
1/25/11,West Virginia,0,0,0,0,WV
1/25/11,Wisconsin,0,0,0,0,WI
1/25/11,Wyoming,0,0,0,0,WY
1/26/11,Alabama,0,0,0,0,AL
1/26/11,Alaska,0,0,0,0,AK
1/26/11,Arizona,0,0,0,0,AZ
1/26/11,Arkansas,0,0,0,0,AR
1/26/11,California,0,0,0,0,CA
1/26/11,Colorado,0,0,0,0,CO
1/26/11,Connecticut,0,0,0,0,CT
1/26/11,Delaware,0,0,0,0,DE
1/26/11,Florida,0,0,0,0,FL
1/26/11,Georgia,0,0,0,0,GA
1/26/11,Hawaii,0,0,0,0,HI
1/26/11,Idaho,0,0,0,0,ID
1/26/11,Illinois,0,0,0,0,IL
1/26/11,Indiana,0,0,0,0,IN
1/26/11,Iowa,0,0,0,0,IA
1/26/11,Kansas,0,0,0,0,KS
1/26/11,Kentucky,0,0,0,0,KY
1/26/11,Louisiana,0,0,0,0,LA
1/26/11,Maine,0,0,0,0,ME
1/26/11,Maryland,0,0,0,0,MD
1/26/11,Massachusetts,0,0,0,0,MA
1/26/11,Michigan,0,0,0,0,MI
1/26/11,Minnesota,0,0,0,0,MN
1/26/11,Mississippi,0,0,0,0,MS
1/26/11,Missouri,0,0,0,0,MO
1/26/11,Montana,0,0,0,0,MT
1/26/11,Nebraska,0,0,0,0,NE
1/26/11,Nevada,0,0,0,0,NV
1/26/11,New Hampshire,0,0,0,0,NH
1/26/11,New Jersey,0,0,0,0,NJ
1/26/11,New Mexico,0,0,0,0,NM
1/26/11,New York,0,0,0,0,NY
1/26/11,North Dakota,0,0,0,0,ND
1/26/11,Ohio,0,0,0,0,OH
1/26/11,Oklahoma,0,0,0,0,OK
1/26/11,Oregon,0,0,0,0,OR
1/26/11,Pennsylvania,0,0,0,0,PA
1/26/11,Rhode Island,0,0,0,0,RI
1/26/11,South Carolina,0,0,0,0,SC
1/26/11,South Dakota,0,0,0,0,SD
1/26/11,Tennessee,0,0,0,0,TN
1/26/11,Texas,0,0,0,0,TX
1/26/11,Utah,0,0,0,0,UT
1/26/11,Vermont,0,0,0,0,VT
1/26/11,Virginia,0,0,0,0,VA
1/26/11,Washington,0,0,0,0,WA
1/26/11,West Virginia,0,0,0,0,WV
1/26/11,Wisconsin,0,0,0,0,WI
1/26/11,Wyoming,0,0,0,0,WY
1/27/11,Alabama,0,0,0,0,AL
1/27/11,Alaska,0,0,0,0,AK
1/27/11,Arizona,0,0,0,0,AZ
1/27/11,Arkansas,0,0,0,0,AR
1/27/11,California,0,0,0,0,CA
1/27/11,Colorado,0,0,0,0,CO
1/27/11,Connecticut,0,0,0,0,CT
1/27/11,Delaware,0,0,0,0,DE
1/27/11,Florida,0,0,0,0,FL
1/27/11,Georgia,0,0,0,0,GA
1/27/11,Hawaii,0,0,0,0,HI
1/27/11,Idaho,0,0,0,0,ID
1/27/11,Illinois,0,0,0,0,IL
1/27/11,Indiana,0,0,0,0,IN
1/27/11,Iowa,0,0,0,0,IA
1/27/11,Kansas,0,0,0,0,KS
1/27/11,Kentucky,0,0,0,0,KY
1/27/11,Louisiana,0,0,0,0,LA
1/27/11,Maine,0,0,0,0,ME
1/27/11,Maryland,0,0,0,0,MD
1/27/11,Massachusetts,0,0,0,0,MA
1/27/11,Michigan,0,0,0,0,MI
1/27/11,Minnesota,0,0,0,0,MN
1/27/11,Mississippi,0,0,0,0,MS
1/27/11,Missouri,0,0,0,0,MO
1/27/11,Montana,0,0,0,0,MT
1/27/11,Nebraska,0,0,0,0,NE
1/27/11,Nevada,0,0,0,0,NV
1/27/11,New Hampshire,0,0,0,0,NH
1/27/11,New Jersey,0,0,0,0,NJ
1/27/11,New Mexico,0,0,0,0,NM
1/27/11,New York,0,0,0,0,NY
1/27/11,North Dakota,0,0,0,0,ND
1/27/11,Ohio,0,0,0,0,OH
1/27/11,Oklahoma,0,0,0,0,OK
1/27/11,Oregon,0,0,0,0,OR
1/27/11,Pennsylvania,0,0,0,0,PA
1/27/11,Rhode Island,0,0,0,0,RI
1/27/11,South Carolina,0,0,0,0,SC
1/27/11,South Dakota,0,0,0,0,SD
1/27/11,Tennessee,0,0,0,0,TN
1/27/11,Texas,0,0,0,0,TX
1/27/11,Utah,0,0,0,0,UT
1/27/11,Vermont,0,0,0,0,VT
1/27/11,Virginia,0,0,0,0,VA
1/27/11,Washington,0,0,0,0,WA
1/27/11,West Virginia,0,0,0,0,WV
1/27/11,Wisconsin,0,0,0,0,WI
1/27/11,Wyoming,0,0,0,0,WY
1/28/11,Alabama,0,0,0,0,AL
1/28/11,Alaska,0,0,0,0,AK
1/28/11,Arizona,0,0,0,0,AZ
1/28/11,Arkansas,0,0,0,0,AR
1/28/11,California,0,0,0,0,CA
1/28/11,Colorado,0,0,0,0,CO
1/28/11,Connecticut,0,0,0,0,CT
1/28/11,Delaware,0,0,0,0,DE
1/28/11,Florida,0,0,0,0,FL
1/28/11,Georgia,0,0,0,0,GA
1/28/11,Hawaii,0,0,0,0,HI
1/28/11,Idaho,0,0,0,0,ID
1/28/11,Illinois,0,0,0,0,IL
1/28/11,Indiana,0,0,0,0,IN
1/28/11,Iowa,0,0,0,0,IA
1/28/11,Kansas,0,0,0,0,KS
1/28/11,Kentucky,0,0,0,0,KY
1/28/11,Louisiana,0,0,0,0,LA
1/28/11,Maine,0,0,0,0,ME
1/28/11,Maryland,0,0,0,0,MD
1/28/11,Massachusetts,0,0,0,0,MA
1/28/11,Michigan,0,0,0,0,MI
1/28/11,Minnesota,0,0,0,0,MN
1/28/11,Mississippi,0,0,0,0,MS
