"","state","state.name","middate","pollster","pollster_id","poll_grade","samplesize","population","clinton","trump","days.until"
"1","AK","Alaska","10/17/16","Google Consumer Surveys",73,"B",111,"likelyvoters",28.07,36.9,22
"2","AK","Alaska","10/12/16","CVOTER International",192,"C+",304,"likelyvoters",41.3,54.1,27
"3","AK","Alaska","10/12/16","Lake Research Partners",42,"B+",500,"likelyvoters",36,37,27
"4","AK","Alaska","10/12/16","Google Consumer Surveys",73,"B",71,"likelyvoters",34.6,29.98,27
"5","AK","Alaska","10/6/16","Google Consumer Surveys",73,"B",60,"likelyvoters",29.97,27.17,33
"6","AK","Alaska","10/5/16","Moore Information",99,"B",500,"likelyvoters",34,37,34
"7","AK","Alaska","10/5/16","CVOTER International",192,"C+",305,"likelyvoters",41.3,53.4,34
"8","AK","Alaska","9/30/16","Ivan Moore Research",313,"C",660,"registeredvoters",30.6,36.1,39
"9","AK","Alaska","9/30/16","Google Consumer Surveys",73,"B",65,"likelyvoters",47.46,36.7,39
"10","AK","Alaska","9/25/16","CVOTER International",192,"C+",457,"likelyvoters",40.3,55.2,44
"11","AK","Alaska","9/23/16","Google Consumer Surveys",73,"B",67,"likelyvoters",28.37,37.74,46
"12","AK","Alaska","9/18/16","CVOTER International",192,"C+",460,"likelyvoters",40.1,54.9,51
"13","AK","Alaska","9/17/16","Google Consumer Surveys",73,"B",56,"likelyvoters",20.82,39.24,52
"14","AK","Alaska","9/14/16","Moore Information",99,"B",500,"likelyvoters",31,39,55
"15","AK","Alaska","9/10/16","Google Consumer Surveys",73,"B",51,"likelyvoters",23.35,41.15,59
"16","AK","Alaska","9/3/16","Google Consumer Surveys",73,"B",86,"likelyvoters",18.06,44.22,66
"17","AK","Alaska","8/28/16","Moore Information",99,"B",500,"likelyvoters",29,39,72
"18","AK","Alaska","8/27/16","Google Consumer Surveys",73,"B",87,"likelyvoters",30.84,29.36,73
"19","AK","Alaska","8/20/16","SurveyMonkey",352,"C-",989,"registeredvoters",31,38,80
"20","AK","Alaska","8/20/16","Google Consumer Surveys",73,"B",87,"likelyvoters",29.51,37.98,80
"21","AK","Alaska","8/13/16","Google Consumer Surveys",73,"B",88,"likelyvoters",31.73,28.39,87
"22","AK","Alaska","8/11/16","Lake Research Partners",42,"B+",500,"likelyvoters",30,38,89
"23","AK","Alaska","6/18/16","Ivan Moore Research",313,"C",670,"registeredvoters",30,39,143
"24","AK","Alaska","1/8/16","Ivan Moore Research",313,"C",651,"registeredvoters",44.1,49.3,305
"25","AL","Alabama","10/17/16","Google Consumer Surveys",73,"B",445,"likelyvoters",23.68,53.37,22
"26","AL","Alabama","10/12/16","CVOTER International",192,"C+",327,"likelyvoters",37.8,57.1,27
"27","AL","Alabama","10/12/16","Google Consumer Surveys",73,"B",373,"likelyvoters",19.61,54.78,27
"28","AL","Alabama","10/10/16","Ipsos",25,"A-",482,"likelyvoters",38.4,52.39,29
"29","AL","Alabama","10/6/16","Google Consumer Surveys",73,"B",379,"likelyvoters",22.51,53.8,33
"30","AL","Alabama","10/6/16","Ipsos",25,"A-",341,"likelyvoters",38.3,53.84,33
"31","AL","Alabama","10/5/16","CVOTER International",192,"C+",332,"likelyvoters",38,56.3,34
"32","AL","Alabama","9/30/16","Google Consumer Surveys",73,"B",357,"likelyvoters",19.45,56.59,39
"33","AL","Alabama","9/29/16","Ipsos",25,"A-",353,"likelyvoters",36.51,56.76,40
"34","AL","Alabama","9/25/16","CVOTER International",192,"C+",545,"likelyvoters",36,59.4,44
"35","AL","Alabama","9/23/16","Google Consumer Surveys",73,"B",361,"likelyvoters",29.18,48.39,46
"36","AL","Alabama","9/22/16","Ipsos",25,"A-",312,"likelyvoters",37.02,55.52,47
"37","AL","Alabama","9/18/16","CVOTER International",192,"C+",558,"likelyvoters",36.1,58.4,51
"38","AL","Alabama","9/17/16","Google Consumer Surveys",73,"B",413,"likelyvoters",18.35,55.11,52
"39","AL","Alabama","9/12/16","Ipsos",25,"A-",403,"likelyvoters",39.35,53.12,57
"40","AL","Alabama","9/10/16","Google Consumer Surveys",73,"B",425,"likelyvoters",19.02,56.78,59
"41","AL","Alabama","9/5/16","Ipsos",25,"A-",392,"likelyvoters",40.11,52.94,64
"42","AL","Alabama","9/3/16","Google Consumer Surveys",73,"B",358,"likelyvoters",21.28,55.58,66
"43","AL","Alabama","8/29/16","Ipsos",25,"A-",367,"likelyvoters",42.33,50.6,71
"44","AL","Alabama","8/27/16","Google Consumer Surveys",73,"B",455,"likelyvoters",17.11,56.17,73
"45","AL","Alabama","8/22/16","Ipsos",25,"A-",367,"likelyvoters",39.39,51.54,78
"46","AL","Alabama","8/20/16","SurveyMonkey",352,"C-",958,"registeredvoters",31,53,80
"47","AL","Alabama","8/20/16","Google Consumer Surveys",73,"B",414,"likelyvoters",17.97,56.78,80
"48","AL","Alabama","8/15/16","Ipsos",25,"A-",385,"likelyvoters",42.06,48.14,85
"49","AL","Alabama","8/13/16","Google Consumer Surveys",73,"B",407,"likelyvoters",19.55,54.53,87
"50","AL","Alabama","8/8/16","Ipsos",25,"A-",380,"likelyvoters",36.3,54.53,92
"51","AL","Alabama","7/19/16","Strategy Research",NA,"",4100,"registeredvoters",33,57,112
"52","AL","Alabama","1/12/16","Strategy Research",NA,"",2700,"registeredvoters",32,68,301
"53","AR","Arkansas","10/17/16","Google Consumer Surveys",73,"B",238,"likelyvoters",27.32,44.58,22
"54","AR","Arkansas","10/12/16","CVOTER International",192,"C+",323,"likelyvoters",37.4,56.7,27
"55","AR","Arkansas","10/12/16","Google Consumer Surveys",73,"B",189,"likelyvoters",34.43,38.13,27
"56","AR","Arkansas","10/10/16","Ipsos",25,"A-",283,"likelyvoters",34.43,52.7,29
"57","AR","Arkansas","10/6/16","Google Consumer Surveys",73,"B",180,"likelyvoters",34.69,40.24,33
"58","AR","Arkansas","10/5/16","CVOTER International",192,"C+",319,"likelyvoters",37.2,56.1,34
"59","AR","Arkansas","10/3/16","Ipsos",25,"A-",314,"likelyvoters",35.6,52.44,36
"60","AR","Arkansas","9/30/16","Google Consumer Surveys",73,"B",150,"likelyvoters",29.66,45.44,39
"61","AR","Arkansas","9/26/16","Ipsos",25,"A-",309,"likelyvoters",37.87,53.01,43
"62","AR","Arkansas","9/25/16","CVOTER International",192,"C+",483,"likelyvoters",35.8,58.6,44
"63","AR","Arkansas","9/23/16","Google Consumer Surveys",73,"B",131,"likelyvoters",28.09,45.52,46
"64","AR","Arkansas","9/19/16","Ipsos",25,"A-",306,"likelyvoters",41.3,49.92,50
"65","AR","Arkansas","9/18/16","CVOTER International",192,"C+",483,"likelyvoters",36,57.5,51
"66","AR","Arkansas","9/17/16","Google Consumer Surveys",73,"B",179,"likelyvoters",36.41,35.42,52
"67","AR","Arkansas","9/16/16","Hendrix College",207,"C+",831,"likelyvoters",34,55,53
"68","AR","Arkansas","9/12/16","Ipsos",25,"A-",280,"likelyvoters",41.08,49.15,57
"69","AR","Arkansas","9/11/16","Emerson College",119,"B",600,"likelyvoters",29,57,58
"70","AR","Arkansas","9/10/16","Google Consumer Surveys",73,"B",175,"likelyvoters",34.5,35.13,59
"71","AR","Arkansas","9/5/16","Ipsos",25,"A-",286,"likelyvoters",41.34,51.28,64
"72","AR","Arkansas","9/3/16","Google Consumer Surveys",73,"B",189,"likelyvoters",33.78,40.6,66
"73","AR","Arkansas","8/29/16","Ipsos",25,"A-",266,"likelyvoters",41.42,49.8,71
"74","AR","Arkansas","8/27/16","Google Consumer Surveys",73,"B",179,"likelyvoters",31.74,42.42,73
"75","AR","Arkansas","8/22/16","Ipsos",25,"A-",243,"likelyvoters",42.2,47.62,78
"76","AR","Arkansas","8/20/16","SurveyMonkey",352,"C-",765,"registeredvoters",37,46,80
"77","AR","Arkansas","8/20/16","Google Consumer Surveys",73,"B",196,"likelyvoters",27.6,39.6,80
"78","AR","Arkansas","8/15/16","Ipsos",25,"A-",250,"likelyvoters",39.49,47.65,85
"79","AR","Arkansas","8/13/16","Google Consumer Surveys",73,"B",151,"likelyvoters",23.56,40.99,87
"80","AR","Arkansas","8/8/16","Ipsos",25,"A-",290,"likelyvoters",39.83,44.73,92
"81","AR","Arkansas","6/21/16","Hendrix College",207,"C+",751,"registeredvoters",36,47,140
"82","AZ","Arizona","10/17/16","Data Orbital",NA,"",550,"likelyvoters",41,41,22
"83","AZ","Arizona","10/17/16","Google Consumer Surveys",73,"B",629,"likelyvoters",41.78,31.4,22
"84","AZ","Arizona","10/17/16","Ipsos",25,"A-",300,"likelyvoters",42.59,44.59,22
"85","AZ","Arizona","10/14/16","HighGround",NA,"",400,"likelyvoters",38.5,36.5,25
"86","AZ","Arizona","10/12/16","Arizona State University",240,"C+",713,"likelyvoters",43.4,37.8,27
"87","AZ","Arizona","10/12/16","CVOTER International",192,"C+",355,"likelyvoters",44,50.6,27
"88","AZ","Arizona","10/12/16","SurveyMonkey",352,"C-",1028,"likelyvoters",41,44,27
"89","AZ","Arizona","10/12/16","Google Consumer Surveys",73,"B",519,"likelyvoters",40.02,30.69,27
"90","AZ","Arizona","10/11/16","Data Orbital",NA,"",550,"likelyvoters",43,42,28
"91","AZ","Arizona","10/10/16","Ipsos",25,"A-",883,"likelyvoters",38.92,44.56,29
"92","AZ","Arizona","10/6/16","Google Consumer Surveys",73,"B",562,"likelyvoters",38.24,35.87,33
"93","AZ","Arizona","10/5/16","CVOTER International",192,"C+",358,"likelyvoters",43.8,49.9,34
"94","AZ","Arizona","10/3/16","Emerson College",119,"B",600,"likelyvoters",44,42,36
"95","AZ","Arizona","9/30/16","Google Consumer Surveys",73,"B",579,"likelyvoters",38.76,32.92,39
"96","AZ","Arizona","9/29/16","Ipsos",25,"A-",617,"likelyvoters",42.22,49.06,40
"97","AZ","Arizona","9/29/16","MBQF",222,"C+",718,"likelyvoters",42,42,40
"98","AZ","Arizona","9/25/16","CVOTER International",192,"C+",556,"likelyvoters",42,52.3,44
"99","AZ","Arizona","9/23/16","Google Consumer Surveys",73,"B",494,"likelyvoters",37.8,33.82,46
"100","AZ","Arizona","9/22/16","Ipsos",25,"A-",533,"likelyvoters",44.13,45.74,47
"101","AZ","Arizona","9/21/16","Data Orbital",NA,"",550,"likelyvoters",38,40,48
"102","AZ","Arizona","9/18/16","CVOTER International",192,"C+",554,"likelyvoters",41.7,51.8,51
"103","AZ","Arizona","9/17/16","Google Consumer Surveys",73,"B",572,"likelyvoters",37.46,32.1,52
"104","AZ","Arizona","9/15/16","Ipsos",25,"A-",428,"likelyvoters",41.65,47.86,54
"105","AZ","Arizona","9/13/16","Insights West",NA,"",484,"likelyvoters",33,37,56
"106","AZ","Arizona","9/10/16","Google Consumer Surveys",73,"B",601,"likelyvoters",33.95,34.56,59
"107","AZ","Arizona","9/8/16","Ipsos",25,"A-",467,"likelyvoters",39.48,46.11,61
"108","AZ","Arizona","9/7/16","Marist College",8,"A",649,"likelyvoters",38,40,62
"109","AZ","Arizona","9/3/16","Google Consumer Surveys",73,"B",635,"likelyvoters",34.87,34.6,66
"110","AZ","Arizona","9/1/16","Ipsos",25,"A-",458,"likelyvoters",39.57,45.89,68
"111","AZ","Arizona","8/27/16","Public Policy Polling",60,"B+",837,"likelyvoters",43,46,73
"112","AZ","Arizona","8/27/16","Gravis Marketing",181,"B-",1244,"likelyvoters",40,44,73
"113","AZ","Arizona","8/27/16","Google Consumer Surveys",73,"B",533,"likelyvoters",37.2,32.28,73
"114","AZ","Arizona","8/26/16","MBQF",222,"C+",728,"likelyvoters",40,39,74
"115","AZ","Arizona","8/25/16","Ipsos",25,"A-",365,"likelyvoters",41.38,44.56,75
"116","AZ","Arizona","8/24/16","Arizona State University",240,"C+",704,"likelyvoters",39.9,36.8,76
"117","AZ","Arizona","8/20/16","CNN/Opinion Research Corp.",30,"A-",809,"likelyvoters",38,45,80
"118","AZ","Arizona","8/20/16","SurveyMonkey",352,"C-",2026,"registeredvoters",37,39,80
"119","AZ","Arizona","8/20/16","Google Consumer Surveys",73,"B",530,"likelyvoters",35.06,26.9,80
"120","AZ","Arizona","8/18/16","Ipsos",25,"A-",362,"likelyvoters",43.18,46.01,82
"121","AZ","Arizona","8/13/16","Google Consumer Surveys",73,"B",544,"likelyvoters",37.14,32.91,87
"122","AZ","Arizona","8/11/16","Ipsos",25,"A-",438,"likelyvoters",39,47.03,89
"123","AZ","Arizona","8/3/16","YouGov",81,"B",1095,"likelyvoters",42,44,97
"124","AZ","Arizona","8/1/16","MBQF",222,"C+",996,"likelyvoters",45,42,99
"125","AZ","Arizona","7/29/16","Integrated Web Strategy",NA,"",679,"likelyvoters",41.3,48.8,102
"126","AZ","Arizona","6/20/16","MBQF",222,"C+",1060,"likelyvoters",46.5,42.2,141
"127","AZ","Arizona","6/15/16","Greenberg Quinlan Rosner (Democracy Corps)",127,"B-",300,"likelyvoters",39,45,146
"128","AZ","Arizona","4/7/16","Behavior Research Center (Rocky Mountain)",19,"A",564,"registeredvoters",42,35,215
"129","AZ","Arizona","3/9/16","Merrill Poll",112,"B",701,"likelyvoters",38,38,244
"130","AZ","Arizona","12/6/15","Strategies 360",70,"B",504,"likelyvoters",42,44,338
"131","CA","California","10/17/16","Google Consumer Surveys",73,"B",1384,"likelyvoters",47.95,26.85,22
"132","CA","California","10/17/16","Ipsos",25,"A-",503,"likelyvoters",63.82,25.62,22
"133","CA","California","10/14/16","SurveyUSA",12,"A",725,"likelyvoters",56,30,25
"134","CA","California","10/12/16","CVOTER International",192,"C+",483,"likelyvoters",58.3,37.4,27
"135","CA","California","10/12/16","Google Consumer Surveys",73,"B",1166,"likelyvoters",48.27,26.89,27
"136","CA","California","10/10/16","Ipsos",25,"A-",553,"likelyvoters",65.89,22.37,29
"137","CA","California","10/6/16","Google Consumer Surveys",73,"B",1234,"likelyvoters",47.55,27.38,33
"138","CA","California","10/5/16","CVOTER International",192,"C+",474,"likelyvoters",58.2,37,34
"139","CA","California","10/3/16","Ipsos",25,"A-",974,"likelyvoters",61.26,27.86,36
"140","CA","California","9/30/16","Google Consumer Surveys",73,"B",1463,"likelyvoters",46.59,28.33,39
"141","CA","California","9/27/16","SurveyUSA",12,"A",723,"likelyvoters",59,33,42
"142","CA","California","9/26/16","Ipsos",25,"A-",787,"likelyvoters",63.67,23.74,43
"143","CA","California","9/25/16","CVOTER International",192,"C+",992,"likelyvoters",56.8,39,44
"144","CA","California","9/23/16","Google Consumer Surveys",73,"B",1311,"likelyvoters",45.47,30.35,46
"145","CA","California","9/19/16","Ipsos",25,"A-",705,"likelyvoters",60.01,28.38,50
"146","CA","California","9/18/16","CVOTER International",192,"C+",951,"likelyvoters",57.2,38.1,51
"147","CA","California","9/17/16","Google Consumer Surveys",73,"B",1374,"likelyvoters",46.39,28.05,52
"148","CA","California","9/13/16","Public Policy Institute of California",11,"A",1055,"likelyvoters",47,31,56
"149","CA","California","9/13/16","Insights West",NA,"",515,"likelyvoters",57,30,56
"150","CA","California","9/12/16","Ipsos",25,"A-",577,"likelyvoters",62.5,24.22,57
"151","CA","California","9/10/16","YouGov",81,"B",1426,"likelyvoters",50,33,59
"152","CA","California","9/10/16","Google Consumer Surveys",73,"B",1544,"likelyvoters",43.37,26.36,59
"153","CA","California","9/9/16","SurveyUSA",12,"A",678,"likelyvoters",57,32,60
"154","CA","California","9/5/16","Ipsos",25,"A-",751,"likelyvoters",59.58,32.19,64
"155","CA","California","9/4/16","SurveyMonkey",352,"C-",4212,"registeredvoters",49,29,65
"156","CA","California","9/3/16","Google Consumer Surveys",73,"B",1457,"likelyvoters",43.85,27.51,66
"157","CA","California","8/29/16","Ipsos",25,"A-",534,"likelyvoters",62.67,24.2,71
"158","CA","California","8/27/16","Google Consumer Surveys",73,"B",1584,"likelyvoters",43.75,26.11,73
"159","CA","California","8/26/16","Tulchin Research",93,"B",601,"registeredvoters",52,31,74
"160","CA","California","8/26/16","Tulchin Research",93,"B",601,"registeredvoters",49,35,74
"161","CA","California","8/22/16","Ipsos",25,"A-",518,"likelyvoters",60.74,25.03,78
