zip,density
601,0
602,0
603,0
606,0
610,0
612,0
616,0
617,0
622,0
623,0
624,0
627,0
631,0
637,0
638,0
641,0
646,0
647,0
650,0
652,0
653,0
656,0
659,0
660,0
662,0
664,0
667,0
669,0
670,0
674,0
676,0
677,0
678,0
680,0
682,0
683,0
685,0
687,0
688,0
690,0
692,0
693,0
694,0
698,0
703,0
704,0
705,0
707,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
723,0
725,0
727,0
728,0
729,0
730,0
731,0
735,0
736,0
738,0
739,0
740,0
741,0
745,0
751,0
754,0
757,0
765,0
766,0
767,0
769,0
771,0
772,0
773,0
775,0
777,0
778,0
780,0
782,0
783,0
784,0
786,0
791,0
794,0
795,0
801,0
802,0
820,0
823,0
824,0
830,0
831,0
840,0
841,0
850,0
851,0
901,0
906,0
907,0
909,0
911,0
912,0
913,0
915,0
917,0
918,0
920,0
921,0
923,0
924,0
925,0
926,0
927,0
934,0
936,0
949,0
950,0
951,0
952,0
953,0
956,0
957,0
959,0
960,0
961,0
962,0
965,0
966,0
968,0
969,0
971,0
976,0
979,0
982,0
983,0
985,0
987,0
1001,1465.565461
1002,527.751031
1003,14587.90436
1005,114.8004159
1007,278.2706153
1008,23.47758198
1009,929.7365119
1010,103.87704
1011,43.33248988
1012,50.38493788
1013,4123.044097
1020,2379.14996
1022,514.8078135
1026,39.41009832
1027,436.0386163
1028,1208.67292
1029,49.78546189
1030,983.3150754
1031,161.641127
1032,48.4323222
1033,223.7835118
1034,28.2274397
1035,227.4105518
1036,261.8254497
1037,59.38629438
1038,254.5509102
1039,101.1584766
1040,1873.972088
1050,66.00746171
1053,328.3960242
1054,81.1592932
1056,775.7029958
1057,190.0329563
1060,1399.6337
1062,614.1897103
1063,11025.64103
1066,90.14084507
1068,91.35446686
1069,301.7637627
1070,30.62168346
1071,102.4455998
1072,73.58359056
1073,205.7402671
1074,3752.941176
1075,989.2200023
1077,308.2962915
1079,613.4751773
1080,1351.476549
1081,117.1276816
1082,223.8802733
1083,183.0164766
1084,19.136675
1085,686.633713
1086,18567.56757
1088,128.8461538
1089,1698.73751
1092,207.9665821
1093,64.43298969
1094,308.9788732
1095,633.1918281
1096,69.97443424
1097,64.95026331
1098,35.11737688
1103,5389.130435
1104,4383.627301
1105,9935.639582
1106,1722.502957
1107,7704.711347
1108,7168.412571
1109,5558.618155
1118,3914.047288
1119,3986.478873
1128,2355.416294
1129,2049.941589
1151,3673.141892
1199,0
1201,878.7936052
1220,349.7723207
1222,250.680375
1223,33.17515161
1224,654.676259
1225,124.1535888
1226,263.2875881
1229,129.6043656
1230,92.10900111
1235,60.60074929
1236,314.244065
1237,40.37332384
1238,173.5997474
1240,212.0673527
1242,957.7464789
1243,17.90788698
1244,61.63265306
1245,35.20371694
1247,306.2673723
